"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBR"	0.01115961	-0.00492	0.02724	20	"Canada"
"XBB.1.5.20"	0.01084982	-0.00944	0.03114	13	"Alberta"
"XBB.1.5.2"	0.01073561	0.00622	0.01525	249	"Canada"
"XBB.1.5.50"	0.01051768	0.00602	0.01502	251	"Canada"
"XBB.1.5.3"	0.01040783	-0.00042	0.02123	42	"Canada"
"CH.1.1*"	0.01018028	-0.00255	0.02291	52	"Newfoundland and Labrador"
"BM*"	0.01018028	-0.00255	0.02291	52	"Newfoundland and Labrador"
"XBB.1.5.14"	0.01011072	-0.00457	0.02479	23	"Canada"
"ED.2"	0.00949292	-0.0006	0.01958	49	"Ontario"
"CH.1.1"	0.00935787	-0.00345	0.02217	51	"Newfoundland and Labrador"
"DV*"	0.0092454	0.00575	0.01274	425	"Canada"
"XBB.1.5.2"	0.0091907	0.00204	0.01634	112	"Alberta"
"XBB.1.5.12"	0.00914464	-0.00528	0.02357	25	"Alberta"
"BA.2.75*"	0.00904185	-0.00354	0.02163	53	"Newfoundland and Labrador"
"XBL.2"	0.00898423	-0.01266	0.03063	11	"Canada"
"XBB.1.5.15"	0.0089447	0.00392	0.01397	200	"Canada"
"XBB.1.5.13"	0.00867541	-0.00052	0.01787	59	"Ontario"
"CH.1.1.11"	0.00839672	-0.00053	0.01733	63	"Canada"
"XBB.1.5.3"	0.00833111	-0.00375	0.02041	34	"Ontario"
"BR.2.1"	0.00829953	-0.02775	0.04435	12	"British Columbia"
"CH.1.1.10"	0.00819877	-0.01044	0.02684	12	"Canada"
"XBB.1.5.4"	0.00809873	-0.00125	0.01745	57	"Ontario"
"XBB.1.5.63"	0.00758948	-0.00883	0.02401	19	"Canada"
"XBB.1.5.13"	0.00721096	0.00196	0.01246	185	"Canada"
"XBB.1.5.13"	0.00716355	-0.01483	0.02915	11	"Alberta"
"XBB.1.5.32"	0.007067	-0.00019	0.01433	89	"Quebec"
"BQ.1.1.63"	0.00654801	-0.01292	0.02602	12	"Quebec"
"CH.1.1*"	0.00633161	0.00276	0.0099	410	"Quebec"
"XBB.1.5.19"	0.00631111	-0.00567	0.01829	32	"Quebec"
"BM*"	0.00623636	0.00267	0.0098	411	"Quebec"
"XBB.1.5.15"	0.00615643	-0.00162	0.01394	84	"Ontario"
"CH.1.1.10"	0.00610169	-0.01436	0.02656	12	"Ontario"
"XBR"	0.00592037	-0.00925	0.02109	20	"Quebec"
"XBB.1.5.32"	0.00534737	-0.01156	0.02226	61	"Manitoba"
"FG.2"	0.00523067	-0.00296	0.01342	76	"Canada"
"XBB.1.5.24"	0.00510215	-0.00292	0.01312	81	"Canada"
"XBB.1.5.51"	0.00500977	-0.00979	0.01981	21	"Quebec"
"BA.2.75*"	0.00450889	0.00101	0.00801	426	"Quebec"
"XBB.1.5.16*"	0.00441741	-0.00265	0.01149	103	"Canada"
"XBB.1.5.17"	0.0042691	-0.00787	0.01641	38	"Alberta"
"XBB.1.34"	0.00401636	-0.01816	0.0262	11	"Alberta"
"XBB.1.5.18"	0.00383897	-0.00329	0.01097	102	"Canada"
"CH.1.1*"	0.0035136	-0.01001	0.01703	29	"Nova Scotia"
"XBB.1.5.19"	0.00346481	-0.00618	0.01311	55	"Canada"
"XBB.1.5.17*"	0.00337335	-0.00131	0.00805	240	"Canada"
"XBB.1.5.32"	0.0028814	-0.00027	0.00603	554	"Canada"
"CH.1.1*"	0.00285217	0.00052	0.00518	1038	"Canada"
"XBF"	0.00284226	-0.01214	0.01782	71	"British Columbia"
"BE.9"	0.00282852	-0.01261	0.01827	22	"Canada"
"XBB.1.5.5"	0.00274065	-0.0057	0.01118	73	"Canada"
"BM*"	0.00216709	-0.00014	0.00447	1067	"Canada"
"XBB.1.5.17*"	0.00191175	-0.00496	0.00879	113	"Ontario"
"BA.2.75*"	0.0016104	-0.01162	0.01484	30	"Nova Scotia"
"BM*"	0.0016104	-0.01162	0.01484	30	"Nova Scotia"
"BQ.1.1.5"	0.00137616	-0.01784	0.02059	41	"British Columbia"
"XBB.1.5.13"	0.0012368	-0.00605	0.00852	89	"Quebec"
"XBB.1.5.17"	0.00119208	-0.00577	0.00815	111	"Ontario"
"XBB.1.5.67"	0.00108486	-0.01511	0.01728	21	"Alberta"
"XBB.1.5.16*"	0.0007766	-0.00692	0.00847	79	"Quebec"
"XBB.1.5.14*"	0.00074319	-0.01794	0.01942	13	"Quebec"
"FL.5"	0.00069876	-0.02979	0.03118	16	"British Columbia"
"XBB.1.5.67"	0.00039676	-0.00487	0.00567	193	"Canada"
"XBB.1.5.69"	0.00028446	-0.01617	0.01674	17	"Quebec"
"FG.2"	0.00019993	-0.00771	0.00811	75	"Quebec"
