"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-05-29	"DV.1.1"	0	"0%"
2023-05-29	"FD.1.1"	0	"0%"
2023-05-29	"FL.4"	3	"2%"
2023-05-29	"FT.1"	0	"0%"
2023-05-29	"other lineages"	74	"39%"
2023-05-29	"XBB.1.16"	54	"29%"
2023-05-29	"XBB.1.16.1"	3	"2%"
2023-05-29	"XBB.1.5"	33	"18%"
2023-05-29	"XBB.1.5.1"	4	"2%"
2023-05-29	"XBB.1.5.15"	1	"1%"
2023-05-29	"XBB.1.5.17"	0	"0%"
2023-05-29	"XBB.1.5.2"	0	"0%"
2023-05-29	"XBB.1.5.20"	0	"0%"
2023-05-29	"XBB.1.5.31"	1	"1%"
2023-05-29	"XBB.1.5.32"	2	"1%"
2023-05-29	"XBB.1.5.39"	0	"0%"
2023-05-29	"XBB.1.5.49"	3	"2%"
2023-05-29	"XBB.1.5.50"	3	"2%"
2023-05-29	"XBB.1.5.67"	0	"0%"
2023-05-29	"XBB.1.5.7"	3	"2%"
2023-05-29	"XBB.1.9.1"	4	"2%"
2023-05-29	"XBF"	0	"0%"
2023-06-05	"BQ.1"	0	"0%"
2023-06-05	"BQ.1.1"	0	"0%"
2023-06-05	"BQ.1.1.40"	0	"0%"
2023-06-05	"CH.1.1"	0	"0%"
2023-06-05	"DV.1.1"	0	"0%"
2023-06-05	"FD.1.1"	0	"0%"
2023-06-05	"FL.4"	0	"0%"
2023-06-05	"FT.1"	0	"0%"
2023-06-05	"other lineages"	2	"100%"
2023-06-05	"XBB.1.16"	0	"0%"
2023-06-05	"XBB.1.16.1"	0	"0%"
2023-06-05	"XBB.1.5"	0	"0%"
2023-06-05	"XBB.1.5.1"	0	"0%"
2023-06-05	"XBB.1.5.15"	0	"0%"
2023-06-05	"XBB.1.5.17"	0	"0%"
2023-06-05	"XBB.1.5.2"	0	"0%"
2023-06-05	"XBB.1.5.20"	0	"0%"
2023-06-05	"XBB.1.5.31"	0	"0%"
2023-06-05	"XBB.1.5.32"	0	"0%"
2023-06-05	"XBB.1.5.39"	0	"0%"
2023-06-05	"XBB.1.5.49"	0	"0%"
2023-06-05	"XBB.1.5.50"	0	"0%"
2023-06-05	"XBB.1.5.67"	0	"0%"
2023-06-05	"XBB.1.5.7"	0	"0%"
2023-06-05	"XBB.1.9.1"	0	"0%"
2023-06-05	"XBF"	0	"0%"
